Id;Word;Rules;Key1;Key2;Key3;Key4;Key5;Stop1;Stop2;Stop3;Reg1;Reg2
1;x-oil;1;x-oil;xoil;0w16;0w.16;0 w16;10w-16;10w16;;.0w.16;.016.;
2;0w-20;0;0w-20;;;;;20w-20;20w20;;.0w.20;.020.;
